gendistrict,hood,category,count
CENTRAL,Financial District,BAD CHECKS,2
CENTRAL,Financial District,BURGLARY,200
CENTRAL,Financial District,DISORDERLY CONDUCT,7
CENTRAL,Financial District,DRIVING UNDER THE INFLUENCE,4
CENTRAL,Financial District,DRUG/NARCOTIC,36
CENTRAL,Financial District,DRUNKENNESS,10
CENTRAL,Financial District,EMBEZZLEMENT,8
CENTRAL,Financial District,EXTORTION,1
CENTRAL,Financial District,FAMILY OFFENSES,1
CENTRAL,Financial District,FORGERY/COUNTERFEITING,28
CENTRAL,Financial District,FRAUD,133
CENTRAL,Financial District,KIDNAPPING,2
CENTRAL,Financial District,LARCENY/THEFT,1512
CENTRAL,Financial District,LOITERING,6
CENTRAL,Financial District,MISSING PERSON,47
CENTRAL,Financial District,NON-CRIMINAL,481
CENTRAL,Financial District,OTHER OFFENSES,376
CENTRAL,Financial District,PROSTITUTION,3
CENTRAL,Financial District,RECOVERED VEHICLE,4
CENTRAL,Financial District,ROBBERY,109
CENTRAL,Financial District,RUNAWAY,3
CENTRAL,Financial District,SECONDARY CODES,21
CENTRAL,Financial District,"SEX OFFENSES, FORCIBLE",26
CENTRAL,Financial District,STOLEN PROPERTY,36
CENTRAL,Financial District,SUICIDE,2
CENTRAL,Financial District,SUSPICIOUS OCC,136
CENTRAL,Financial District,TRESPASS,57
CENTRAL,Financial District,VANDALISM,248
CENTRAL,Financial District,VEHICLE THEFT,97
CENTRAL,Financial District,WARRANTS,135
CENTRAL,Financial District,WEAPON LAWS,30
CENTRAL,Marina,OTHER OFFENSES,2
CENTRAL,Nob Hill,ARSON,3
CENTRAL,Nob Hill,ASSAULT,125
CENTRAL,Nob Hill,BRIBERY,1
CENTRAL,Nob Hill,BURGLARY,77
CENTRAL,Nob Hill,DISORDERLY CONDUCT,3
CENTRAL,Nob Hill,DRIVING UNDER THE INFLUENCE,3
CENTRAL,Nob Hill,DRUG/NARCOTIC,24
CENTRAL,Nob Hill,DRUNKENNESS,4
CENTRAL,Nob Hill,EXTORTION,1
CENTRAL,Nob Hill,FORGERY/COUNTERFEITING,7
CENTRAL,Nob Hill,FRAUD,32
