category,hood,weekday,month,hour,count
TRESPASSING,SouthEast,3,10,22,1
OTHER,NorthWest,1,01,16,7
SEX,Center,1,07,04,2
CONDUCT,SouthEast,6,12,17,1
OTHER,SouthEast,7,04,05,2
THEFT,NorthWest,5,01,19,8
SEX,SouthEast,7,01,18,2
OTHER,Center,7,01,14,9
SEX,NorthEast,5,03,08,1
SEX,SouthEast,1,07,07,1
OTHER,SouthWest,6,06,13,2
THEFT,NorthWest,3,12,07,1
THEFT,SouthWest,3,07,16,1
OTHER,SouthWest,6,09,15,1
THEFT,SouthEast,5,06,12,1
FRAUD,NorthEast,3,01,00,2
THEFT,NorthEast,4,01,00,8
MISSING PERSONS,SouthWest,6,12,08,2
THEFT,NorthEast,2,03,02,9
OTHER,Center,1,07,17,3
FRAUD,NorthEast,3,09,23,2
THEFT,NorthEast,4,09,23,20
OTHER,SouthWest,7,12,18,2
OTHER,NorthEast,7,01,07,3
MISSING PERSONS,NorthEast,5,02,12,2
THEFT,Center,6,11,13,5
OTHER,NorthEast,1,07,18,24
DRUG/ALC,Center,2,08,20,2
MISSING PERSONS,NorthEast,5,09,19,3
SEX,Center,6,02,05,2
CONDUCT,Center,5,11,21,1
MISSING PERSONS,SouthWest,6,02,22,4
CONDUCT,SouthEast,4,08,18,1
OTHER,SouthWest,6,05,20,6
MISSING PERSONS,SouthWest,6,10,02,1
SEX,SouthEast,4,12,03,4
OTHER,SouthWest,4,01,11,2
SEX,NorthEast,4,06,09,2
THEFT,Center,5,04,22,5
FRAUD,SouthEast,6,02,07,2
DRUG/ALC,SouthWest,7,06,09,1
THEFT,SouthWest,7,04,21,2
DRUG/ALC,NorthEast,7,10,17,1
MISSING PERSONS,NorthWest,6,07,17,2
CONDUCT,SouthWest,7,11,22,1
SEX,NorthWest,7,11,02,1
DRUG/ALC,NorthEast,6,08,04,3
CONDUCT,SouthWest,3,12,10,1
CONDUCT,NorthEast,4,09,12,5
FRAUD,SouthWest,1,08,14,1
SEX,NorthEast,1,06,06,5
MISSING PERSONS,Center,6,06,13,2
OTHER,NorthEast,2,06,15,21
CONDUCT,NorthEast,4,02,19,1
CONDUCT,NorthEast,1,03,01,1
OTHER,SouthEast,2,06,10,3
CONDUCT,NorthEast,5,03,07,1
THEFT,NorthEast,4,09,05,9
SEX,NorthEast,6,06,21,7
OTHER,NorthEast,2,12,11,17
CONDUCT,SouthEast,1,05,22,1
CONDUCT,SouthWest,4,10,16,1
OTHER,Center,3,05,21,4
SEX,NorthEast,7,05,03,4
THEFT,NorthWest,6,08,13,4
SEX,NorthWest,4,02,16,3
MISSING PERSONS,SouthEast,5,05,00,1
OTHER,SouthWest,5,07,15,5
FRAUD,Center,4,03,09,1
THEFT,Center,3,03,09,1
OTHER,SouthWest,4,06,01,2
DRUG/ALC,NorthEast,7,04,19,2
OTHER,NorthEast,4,08,08,7
SEX,SouthWest,4,04,19,2
THEFT,SouthWest,4,03,20,3
OTHER,SouthWest,6,01,16,7
SEX,Center,7,08,02,2
THEFT,SouthWest,3,02,02,1
THEFT,SouthEast,2,09,22,2
THEFT,SouthWest,3,10,22,2
OTHER,NorthWest,1,06,13,2
THEFT,SouthWest,2,12,00,1
OTHER,SouthEast,2,07,21,8
DRUG/ALC,SouthWest,5,01,02,1
OTHER,NorthWest,7,10,12,4
TRESPASSING,SouthEast,3,12,15,1
OTHER,Center,6,04,21,8
SEX,SouthEast,7,08,00,4
SEX,Center,1,10,13,4
OTHER,SouthEast,7,03,17,6
