category,hood,weekday,month,hour,count
THEFT,SouthEast,2,01,18,1
SEX,NorthEast,3,01,15,1
OTHER,NorthEast,3,01,15,1
OTHER,NorthEast,3,01,15,1
SEX,NorthEast,2,01,00,1
SEX,NorthEast,2,01,12,1
OTHER,NorthWest,3,01,15,1
OTHER,NorthWest,3,01,15,1
OTHER,NorthEast,3,01,15,1
OTHER,NorthEast,1,01,12,1
CONDUCT,NorthEast,3,01,08,1
DRUG/ALC,NorthEast,3,01,15,1
OTHER,NorthEast,3,01,16,1
THEFT,NorthEast,2,01,19,1
OTHER,NorthEast,3,01,16,1
OTHER,SouthEast,3,01,12,1
OTHER,SouthEast,3,01,12,1
SEX,Center,2,01,08,1
OTHER,Center,2,01,08,1
THEFT,NorthEast,3,01,02,1
THEFT,Center,2,01,20,1
THEFT,Center,2,01,20,1
THEFT,SouthWest,2,01,17,1
FRAUD,SouthWest,2,01,17,1
SEX,Center,3,01,15,1
OTHER,Center,3,01,15,1
OTHER,Center,3,01,15,1
OTHER,SouthWest,3,01,17,1
THEFT,NorthEast,5,01,02,1
DRUG/ALC,NorthEast,3,01,16,1
TRESPASSING,SouthWest,3,01,16,1
OTHER,Center,3,01,17,1
OTHER,NorthWest,3,01,17,1
MISSING PERSONS,Center,5,01,16,1
SEX,NorthEast,3,01,17,1
THEFT,NorthEast,1,01,13,1
THEFT,NorthEast,3,01,14,1
SEX,Center,3,01,17,1
THEFT,NorthEast,3,01,12,1
THEFT,NorthWest,3,01,09,1
THEFT,Center,3,01,17,1
OTHER,Center,3,01,17,1
OTHER,SouthWest,3,01,17,1
CONDUCT,Center,3,01,17,1
CONDUCT,NorthEast,1,01,10,1
THEFT,NorthEast,2,01,17,1
MISSING PERSONS,NorthWest,3,01,15,1
OTHER,NorthEast,3,01,18,1
THEFT,NorthEast,3,01,18,1
SEX,SouthEast,3,01,17,1
CONDUCT,SouthEast,3,01,17,1
OTHER,SouthEast,3,01,18,1
THEFT,SouthWest,3,01,13,1
THEFT,NorthEast,3,01,17,1
THEFT,NorthEast,5,01,23,1
FRAUD,NorthEast,5,01,23,1
OTHER,NorthEast,3,01,18,1
SEX,NorthEast,2,01,04,1
OTHER,NorthWest,3,01,17,1
OTHER,NorthWest,2,01,15,1
THEFT,NorthEast,3,01,08,1
OTHER,Center,3,01,18,1
SEX,Center,3,01,18,1
OTHER,Center,3,01,18,1
SEX,NorthWest,3,01,18,1
OTHER,SouthEast,3,01,19,1
OTHER,Center,3,01,19,1
DRUG/ALC,Center,3,01,19,1
THEFT,NorthEast,3,01,17,1
FRAUD,NorthEast,3,01,18,1
THEFT,SouthEast,3,01,16,1
DRUG/ALC,NorthEast,3,01,19,1
OTHER,NorthEast,3,01,19,1
DRUG/ALC,SouthWest,3,01,19,1
OTHER,SouthWest,3,01,19,1
THEFT,NorthEast,3,01,19,1
THEFT,NorthEast,3,01,19,1
FRAUD,NorthEast,3,01,19,1
THEFT,NorthEast,3,01,16,1
THEFT,NorthWest,3,01,19,1
OTHER,Center,3,01,21,1
THEFT,NorthEast,3,01,05,1
THEFT,NorthEast,3,01,05,1
TRESPASSING,NorthWest,3,01,19,1
OTHER,NorthWest,3,01,19,1
CONDUCT,NorthEast,3,01,20,1
OTHER,SouthEast,3,01,21,1
CONDUCT,SouthEast,3,01,21,1
THEFT,NorthEast,3,01,17,1
THEFT,SouthWest,3,01,14,1
THEFT,SouthEast,3,01,22,1
OTHER,NorthEast,3,01,22,1
THEFT,NorthEast,3,01,22,1
SEX,NorthEast,3,01,05,1
THEFT,NorthEast,3,01,18,1
DRUG/ALC,NorthEast,3,01,18,1
OTHER,NorthEast,3,01,18,1
OTHER,NorthEast,3,01,18,1
OTHER,NorthEast,3,01,18,1
OTHER,NorthEast,3,01,23,1
THEFT,NorthEast,3,01,19,1
THEFT,NorthEast,3,01,21,1
SEX,SouthEast,4,01,23,1
SEX,SouthEast,4,01,23,1
OTHER,SouthEast,4,01,23,1
SEX,SouthEast,4,01,23,1
THEFT,NorthEast,5,01,18,1
OTHER,NorthEast,3,01,23,1
OTHER,NorthEast,3,01,23,1
OTHER,SouthWest,3,01,23,1
OTHER,SouthEast,3,01,23,1
THEFT,SouthEast,3,01,14,1
DRUG/ALC,NorthEast,3,01,23,1
DRUG/ALC,NorthEast,3,01,23,1
THEFT,NorthEast,3,01,21,1
THEFT,SouthEast,3,01,08,1
THEFT,NorthEast,1,01,12,1
THEFT,NorthEast,6,01,23,1
THEFT,Center,3,01,11,1
OTHER,Center,4,01,00,1
OTHER,NorthEast,4,01,16,1
OTHER,SouthWest,4,01,01,1
CONDUCT,SouthWest,4,01,01,1
THEFT,NorthEast,3,01,22,1
THEFT,NorthEast,3,01,17,1
OTHER,NorthEast,4,01,01,1
OTHER,NorthEast,3,01,22,1
SEX,Center,4,01,01,1
OTHER,Center,4,01,01,1
OTHER,NorthEast,4,01,02,1
CONDUCT,SouthWest,4,01,02,1
SEX,SouthWest,4,01,03,1
