category,hood,weekday,month,hour,count
OTHER,SouthEast,7,01,02,3
THEFT,SouthWest,1,06,08,1
DRUG/ALC,Center,6,09,22,1
THEFT,SouthWest,6,09,05,1
THEFT,NorthEast,4,11,19,35
SEX,SouthWest,4,06,21,2
THEFT,SouthEast,2,03,07,4
THEFT,NorthEast,5,08,07,14
THEFT,NorthEast,2,06,23,17
OTHER,NorthWest,5,05,09,2
OTHER,SouthEast,7,12,20,3
MISSING PERSONS,SouthWest,7,11,19,2
MISSING PERSONS,NorthEast,5,11,23,2
DRUG/ALC,NorthEast,7,06,21,1
SEX,NorthWest,6,08,12,5
THEFT,NorthWest,5,03,21,2
SEX,NorthWest,4,05,15,1
OTHER,NorthEast,3,06,14,18
OTHER,NorthEast,6,06,01,11
THEFT,NorthWest,7,10,09,4
THEFT,SouthWest,3,11,07,5
MISSING PERSONS,NorthEast,3,05,10,4
THEFT,Center,4,08,17,8
OTHER,SouthWest,6,08,08,1
SEX,NorthEast,6,07,09,8
OTHER,SouthWest,1,09,07,2
MISSING PERSONS,NorthEast,1,01,23,1
SEX,NorthWest,6,06,02,2
SEX,NorthEast,6,04,19,1
SEX,SouthEast,2,06,13,3
THEFT,NorthEast,6,03,20,28
OTHER,SouthEast,6,05,18,6
DRUG/ALC,NorthEast,3,02,17,1
OTHER,NorthEast,4,01,16,22
SEX,NorthEast,2,09,09,2
OTHER,SouthEast,6,10,00,7
THEFT,Center,2,02,21,4
MISSING PERSONS,SouthEast,2,03,11,1
MISSING PERSONS,NorthEast,5,08,11,2
SEX,SouthEast,3,06,17,2
DRUG/ALC,Center,6,06,12,1
MISSING PERSONS,NorthEast,1,09,00,1
DRUG/ALC,NorthEast,2,02,13,2
MISSING PERSONS,SouthEast,7,07,22,2
THEFT,NorthEast,4,08,18,37
DRUG/ALC,Center,5,10,16,4
SEX,Center,7,03,07,1
DRUG/ALC,NorthEast,7,05,07,2
SEX,NorthWest,5,05,13,4
DRUG/ALC,SouthEast,6,08,00,1
OTHER,NorthWest,2,11,16,15
THEFT,NorthEast,7,10,06,2
THEFT,Center,4,11,01,2
OTHER,Center,3,03,12,12
THEFT,NorthWest,4,05,22,4
THEFT,NorthWest,3,11,15,7
THEFT,Center,5,01,18,12
OTHER,NorthWest,1,09,15,3
DRUG/ALC,NorthEast,4,11,10,6
DRUG/ALC,NorthEast,7,07,10,1
MISSING PERSONS,Center,6,05,20,2
OTHER,Center,6,02,22,4
OTHER,Center,6,10,02,7
OTHER,Center,5,08,16,1
DRUG/ALC,NorthEast,6,03,14,1
MISSING PERSONS,Center,4,01,11,1
THEFT,Center,7,07,01,2
THEFT,NorthWest,7,11,08,1
THEFT,SouthEast,3,12,21,8
THEFT,NorthEast,5,01,17,42
SEX,SouthWest,1,02,11,2
THEFT,Center,3,03,10,2
THEFT,Center,1,08,19,5
SEX,NorthEast,2,03,08,5
THEFT,NorthWest,7,04,06,3
OTHER,Center,7,09,23,6
OTHER,SouthEast,7,04,23,1
OTHER,NorthWest,1,05,20,4
THEFT,NorthEast,1,11,17,27
SEX,SouthWest,5,05,18,1
SEX,Center,6,03,03,2
OTHER,NorthEast,3,09,17,28
