hood,category,count
Inner Sunset,BURGLARY,135
Inner Sunset,DISORDERLY CONDUCT,6
Inner Sunset,DRIVING UNDER THE INFLUENCE,6
Inner Sunset,DRUG/NARCOTIC,13
Inner Sunset,DRUNKENNESS,7
Inner Sunset,EMBEZZLEMENT,3
Inner Sunset,FORGERY/COUNTERFEITING,6
Inner Sunset,FRAUD,36
Inner Sunset,KIDNAPPING,3
Inner Sunset,LARCENY/THEFT,425
Inner Sunset,LIQUOR LAWS,2
Inner Sunset,MISSING PERSON,105
Inner Sunset,NON-CRIMINAL,215
Inner Sunset,OTHER OFFENSES,252
Inner Sunset,RECOVERED VEHICLE,5
Inner Sunset,ROBBERY,22
Inner Sunset,SECONDARY CODES,15
Inner Sunset,"SEX OFFENSES, FORCIBLE",10
Inner Sunset,STOLEN PROPERTY,8
Inner Sunset,SUSPICIOUS OCC,54
Inner Sunset,TRESPASS,32
Inner Sunset,VANDALISM,78
Inner Sunset,VEHICLE THEFT,92
Inner Sunset,WARRANTS,37
Inner Sunset,WEAPON LAWS,9
Lakeshore,ARSON,4
Lakeshore,ASSAULT,147
Lakeshore,BAD CHECKS,2
Lakeshore,BURGLARY,150
Lakeshore,DISORDERLY CONDUCT,2
Lakeshore,DRIVING UNDER THE INFLUENCE,12
Lakeshore,DRUG/NARCOTIC,30
Lakeshore,DRUNKENNESS,11
Lakeshore,EMBEZZLEMENT,8
Lakeshore,EXTORTION,3
Lakeshore,FAMILY OFFENSES,1
Lakeshore,FORGERY/COUNTERFEITING,6
Lakeshore,FRAUD,72
Lakeshore,KIDNAPPING,3
Lakeshore,LARCENY/THEFT,789
Lakeshore,LIQUOR LAWS,8
Lakeshore,LOITERING,1
Lakeshore,MISSING PERSON,45
Lakeshore,NON-CRIMINAL,258
Lakeshore,OTHER OFFENSES,438
Lakeshore,PROSTITUTION,102
Lakeshore,RECOVERED VEHICLE,10
Lakeshore,ROBBERY,41
Lakeshore,SECONDARY CODES,32
Lakeshore,"SEX OFFENSES, FORCIBLE",22
Lakeshore,"SEX OFFENSES, NON FORCIBLE",3
Lakeshore,STOLEN PROPERTY,11
Lakeshore,SUICIDE,1
Lakeshore,SUSPICIOUS OCC,63
Lakeshore,TREA,1
Lakeshore,TRESPASS,33
Lakeshore,VANDALISM,149
Lakeshore,VEHICLE THEFT,96
Lakeshore,WARRANTS,80
Lakeshore,WEAPON LAWS,12
Marina,ARSON,4
Marina,ASSAULT,197
Marina,BRIBERY,1
Marina,BURGLARY,184
Marina,DISORDERLY CONDUCT,9
Marina,DRIVING UNDER THE INFLUENCE,8
Marina,DRUG/NARCOTIC,36
Marina,DRUNKENNESS,14
Marina,FORGERY/COUNTERFEITING,18
Marina,FRAUD,64
Marina,KIDNAPPING,4
Marina,LARCENY/THEFT,1360
Marina,LIQUOR LAWS,1
Marina,LOITERING,3
Marina,MISSING PERSON,44
Marina,NON-CRIMINAL,323
Marina,OTHER OFFENSES,339
Marina,RECOVERED VEHICLE,8
Marina,ROBBERY,48
Marina,SECONDARY CODES,23
